current_time,input_len,output_len,total_req,max_cc,cc,rr,TTFT avg,TTFT P90,TPOT avg,TPOT SLO_P90,E2E_time,output_throughput,single_output_throughput,E2E_throughput,single_E2E_throughput,qps,qpm,input_token_throughput,prefill_token_throughput,E2EL avg,E2EL P90
2026-08-07 09:43:47,520.0,64.0,8.0,2,1.8677,0,3323.4,10373.0,15.4,23.6,18.3962723,27.8317,27.8317,253.9645,253.9645,0.4349,26.094,226.1328,156.4652,4294.8,13030.6
2026-08-07 10:52:03,520.0,64.0,8.0,2,1.8688,0,3320.2,10374.4,15.4,23.6,18.3799122,27.8565,27.8565,254.1906,254.1906,0.4353,26.118,226.3341,156.6161,4293.5,13028.4
2026-08-07 10:55:19,520.0,64.0,8.0,2,1.9339,0,148.0,194.3,9.8,10.2,3.1750998,161.2548,161.2548,1471.4498,1471.4498,2.5196,151.17600000000002,1310.195,3514.2856,767.6,816.0
2026-08-07 11:13:31,99999.0,99999.0,99999.0,99999,99999.0,0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
2026-08-07 15:08:40,1032.0,64.0,100.0,8,5.9612,0,985.6,291.0,13.1,13.5,30.3297421,211.014,211.014,3613.6146,3613.6146,3.2971,197.826,3402.6006,1047.0468,1808.0,1079.4
2026-08-07 16:21:20,1163.7952,1.0,332.0,4,3.976,0,273.3,164.6,99999.0,99999.0,22.9923711,14.4396,1.80495,16819.144,2102.393,14.4396,866.376,16804.7044,4257.867,275.4,166.8
2026-08-07 16:30:58,1163.7952,512.0,332.0,4,3.9822,0,202.3,170.4,10.8,11.7,478.5243682,355.2254,44.403175,1162.666,145.33325,0.6938,41.628,807.4406,5753.7785,5739.6,6260.6
2026-08-07 16:41:52,1163.7952,1.0,332.0,4,3.9833,0,277.8,172.2,99999.0,99999.0,23.332155,14.2293,1.7786625,16574.2084,2071.77605,14.2293,853.758,16559.9791,4189.7046,279.9,174.4
2026-08-07 16:50:23,1163.7952,512.0,332.0,4,3.9775,0,179.3,158.9,10.3,10.6,455.9310096,372.8283,46.6035375,1220.2811,152.5351375,0.7282,43.692,847.4528,6491.4032,5462.2,5580.3
2026-08-07 16:59:45,1163.7952,1.0,332.0,16,15.8287,0,891.7,376.7,99999.0,99999.0,18.7631567,17.6943,2.2117875,20610.178,2576.27225,17.6943,1061.658,20592.4838,1305.0749,894.6,381.2
2026-08-07 17:13:08,1163.7952,512.0,332.0,128,20.8877,0,160.5,182.1,12.8,13.6,106.5846795,1594.8258,199.353225,5219.9247,652.4905875,3.1149,186.894,3625.0989,7250.1916,6705.8,7130.2
2026-08-07 17:22:49,1163.7952,1.0,332.0,16,15.8374,0,912.9,1412.9,99999.0,99999.0,19.1876707,17.3028,2.16285,20154.192,2519.274,17.3028,1038.168,20136.8892,1274.8807,915.3,1414.8
2026-08-07 17:25:35,1163.7952,512.0,332.0,128,21.6966,0,164.3,166.1,13.4,13.9,107.0194011,1588.3475,198.5434375,5198.7209,649.8401125,3.1022,186.132,3610.3734,7085.1056,6993.8,7476.3
2026-08-11 11:38:50,1163.7952,1.0,332.0,16,15.8642,0,899.6,1428.3,99999.0,99999.0,18.8897472,17.5757,2.1969625,20472.058,2559.00725,17.5757,1054.542,20454.4824,1293.6603,902.6,1430.7
2026-08-11 11:49:55,1163.7952,1.0,332.0,16,15.8614,0,866.9,373.5,99999.0,99999.0,18.2045769,18.2372,2.27965,21242.57,2655.32125,18.2372,1094.232,21224.3328,1342.5507,869.7,375.6
2026-08-11 11:55:49,1163.7952,512.0,332.0,128,20.7105,0,222.6,166.0,13.2,13.8,111.5641064,1523.6442,190.455525,4986.9444,623.36805,2.9759,178.554,3463.3003,5227.0528,6959.5,7231.9
